"IMXCODE","INKCODE","WEIGHT","REGDATE","REGUSER","EDITDATE","EDITUSER"
"DS1925","020220016","180","2019/10/24 17:15:13","0114",\N,\N
"DS1925","020220025","500","2019/10/24 17:15:13","0114",\N,\N
"DS1943","020220009","48","2020/03/10 09:04:38","0114",\N,\N
"DS1943","020220014","12","2020/03/10 09:04:37","0114",\N,\N
"DS1943","020220016","90","2020/03/10 09:04:37","0114",\N,\N
"DS1943","020220025","1000","2020/03/10 09:04:37","0114",\N,\N
"DS197","020120002","13","2018/09/04 15:16:39","0114",\N,\N
"DS197","020120006","25","2018/09/04 15:16:39","0114",\N,\N
"DS197","020120008","90","2018/09/04 15:16:39","0114",\N,\N
"DS197","020120017","70","2018/09/04 15:16:39","0114",\N,\N
"DS197","020120037","1000","2018/09/04 15:16:39","0114",\N,\N
"DS2002","020120015","810","2019/01/07 11:39:11","0114",\N,\N
"DS2002","020120021","35","2019/01/07 11:39:11","0114",\N,\N
"DS2002","020120037","1000","2019/01/07 11:39:11","0114",\N,\N
"DS202","020220009","130","2018/06/22 15:28:33","00030201",\N,\N
"DS202","020220014","1110","2018/06/22 15:28:33","00030201",\N,\N
"DS202","020220015","30","2018/06/22 15:28:33","00030201",\N,\N
"DS202","020220016","630","2018/06/22 15:28:33","00030201",\N,\N
"DS2026","020120007","2","2020/09/11 11:10:07","0114",\N,\N
"DS2026","020120014","90","2020/09/11 11:10:07","0114",\N,\N
"DS2026","020120015","250","2020/09/11 11:10:07","0114",\N,\N
"DS2026","020120021","30","2020/09/11 11:10:07","0114",\N,\N
"DS2029","020120014","490","2020/10/19 09:30:28","0114",\N,\N
"DS2029","020120015","430","2020/10/19 09:30:28","0114",\N,\N
"DS2029","020120019","14","2020/10/19 09:30:28","0114",\N,\N
"DS2029","020120037","2000","2020/10/19 09:30:28","0114",\N,\N
"DS202A","020220009","70","2018/10/15 10:27:47","0114",\N,\N
"DS202A","020220014","2000","2018/10/15 10:27:47","0114",\N,\N
"DS202A","020220015","50","2018/10/15 10:27:47","0114",\N,\N
"DS202A","020220025","2000","2018/10/15 10:27:47","0114",\N,\N
"DS202B","020220009","110","2018/10/15 10:56:54","0114",\N,\N
"DS202B","020220014","1000","2018/10/15 10:56:54","0114",\N,\N
"DS202B","020220016","780","2018/10/15 10:56:54","0114",\N,\N
"DS2032","020120002","60","2019/05/23 08:58:54","0114",\N,\N
"DS2032","020120014","53","2019/05/23 08:58:54","0114",\N,\N
"DS2032","020120015","280","2019/05/23 08:58:54","0114",\N,\N
"DS2032","020120021","1000","2019/05/23 08:58:54","0114",\N,\N
"DS2032A","020120002","90","2019/08/20 16:24:13","0114",\N,\N
"DS2032A","020120014","30","2019/08/20 16:24:13","0114",\N,\N
"DS2032A","020120015","280","2019/08/20 16:24:13","0114",\N,\N
"DS2032A","020120021","1000","2019/08/20 16:24:13","0114",\N,\N
"DS2037","020220014","200","2019/12/06 15:17:01","0114",\N,\N
"DS2037","020220025","1000","2019/12/06 15:17:01","0114",\N,\N
"DS204","020220008","705","2018/12/24 14:10:37","0114",\N,\N
"DS204","020220013","55","2018/12/24 14:10:37","0114",\N,\N
"DS204","020220014","2","2018/12/24 14:10:37","0114",\N,\N
"DS204","020220015","24","2018/12/24 14:10:37","0114",\N,\N
"DS204","020220025","1000","2018/12/24 14:10:37","0114",\N,\N
"DS2045","020220008","54","2019/12/06 15:16:15","0114",\N,\N
"DS2045","020220014","500","2019/12/06 15:16:14","0114",\N,\N
"DS2045","020220016","150","2019/12/06 15:16:15","0114",\N,\N
"DS2045A","020220008","108","2020/01/17 17:10:57","0114","2020/01/28 12:03:50","0114"
"DS2045A","020220014","1000","2020/01/17 17:10:57","0114","2020/01/28 12:03:51","0114"
"DS2045A","020220016","300","2020/01/17 17:10:57","0114","2020/01/28 12:03:51","0114"
"DS2045A","020220025","1200","2020/01/17 17:10:57","0114","2020/01/28 12:03:51","0114"
"DS204A","020220008","208","2020/02/24 10:18:04","0114",\N,\N
"DS204A","020220014","90","2020/02/24 10:18:04","0114",\N,\N
"DS204A","020220015","26","2020/02/24 10:18:04","0114",\N,\N
"DS204A","020220016","140","2020/02/24 10:18:04","0114",\N,\N
"DS204A","020220025","5000","2020/02/24 10:18:04","0114",\N,\N
"DS204B","020220008","77","2020/02/27 09:18:58","0114",\N,\N
"DS204B","020220009","34","2020/02/27 09:18:58","0114",\N,\N
"DS204B","020220014","90","2020/02/27 09:18:58","0114",\N,\N
"DS204B","020220016","20","2020/02/27 09:18:58","0114",\N,\N
"DS204B","020220025","1000","2020/02/27 09:18:58","0114",\N,\N
"DS204C","020120001","20","2020/09/14 09:09:18","0114",\N,\N
"DS204C","020120014","200","2020/09/14 09:09:18","0114",\N,\N
"DS204C","020120015","70","2020/09/14 09:09:18","0114",\N,\N
"DS204C","020120037","500","2020/09/14 09:09:18","0114",\N,\N
"DS205","020120002","75","2018/11/19 10:13:55","0114",\N,\N
"DS205","020120014","1000","2018/11/19 10:13:55","0114",\N,\N
"DS205","020120015","1000","2018/11/19 10:13:55","0114",\N,\N
"DS206","020220009","50","2018/04/23 11:23:08","00030201",\N,\N
"DS206","020220014","1450","2018/04/23 11:23:08","00030201",\N,\N
"DS206","020220016","500","2018/04/23 11:23:08","00030201",\N,\N
"DS206A","020220008","4","2019/03/15 09:13:12","0114",\N,\N
"DS206A","020220010","12","2019/03/15 09:13:12","0114",\N,\N
